candidate_id,date,weekday,posted_time,author_id,origin_candidate,origin_category_candidate,dest_candidate,dest_category_candidate,waypoints_candidate,stop_count_candidate,source_file,source_line,raw_text_redacted,review_status,candidate_reason
omit_0011,2024-05-28,화,09:11,u0441,유야,원룸촌,오흡,학교,,2,Talk_2026.9.15 11:45-1.txt,6580,9:35 유야>오흡 카풀 톡방 >> 5명시 마감 🙋🏻‍♀️차번호 <VEHICLE> <URL>,human_review_required,2+ known places and route/mode marker
omit_0012,2024-05-30,목,07:59,u1351,야멍,원룸촌,오석,학교,,2,Talk_2026.9.15 11:45-1.txt,7084,8:40 콘테>야멍>오석 택시 <PHONE>/4,human_review_required,2+ known places and route/mode marker
omit_0013,2024-05-30,목,09:06,u0076,그할마,원룸촌,오흡,학교,예성,3,Talk_2026.9.15 11:45-1.txt,7101,9:40 그할마예성>야공>오흡 <PHONE>,human_review_required,2+ known places and route/mode marker
omit_0014,2024-05-31,금,15:59,u1915,한동대,학교,시외버스터미널,터미널,,2,Talk_2026.9.15 11:45-1.txt,7638,5시 출발 한동 > 시외버스터미널 2/4,human_review_required,2+ known places and route/mode marker
omit_0015,2024-06-03,월,16:26,u0441,오흡,학교,토시래,원룸촌,비벤,3,Talk_2026.9.15 11:45-1.txt,8314,5:20 오흡>비벤>토시래 카풀 톡방 >> 6명시 마감 🙋🏻‍♀️차번호 <VEHICLE> <URL>,human_review_required,2+ known places and route/mode marker
omit_0016,2024-06-04,화,00:49,u0013,오석,학교,그할마,원룸촌,,2,Talk_2026.9.15 11:45-1.txt,8438,1:00 오석-법원-그할마 카풀 톡방 정원 6명입니다 :) 🚙8996 가자 스벤🚙 <URL>,human_review_required,2+ known places and route/mode marker
omit_0017,2024-06-05,수,11:50,u0441,토시래,원룸촌,오흡,학교,,2,Talk_2026.9.15 11:45-1.txt,8894,12:25 토시래>오흡 카풀 톡방 >> 6명시 마감 🙋🏻‍♀️차번호 <VEHICLE> <URL>,human_review_required,2+ known places and route/mode marker
omit_0018,2024-06-05,수,19:09,u1146,오석,학교,그할마,원룸촌,,2,Talk_2026.9.15 11:45-1.txt,9009,오석—그할마 7시30분 택시 <PHONE>,human_review_required,2+ known places and route/mode marker
omit_0019,2024-06-08,토,16:20,u1205,그할마,원룸촌,궁물촌,원룸촌,,2,Talk_2026.9.15 11:45-1.txt,9752,16:35 드롭탑-그할마 택시 (궁물촌하차가능) <PHONE>,human_review_required,2+ known places and route/mode marker
omit_0020,2024-06-10,월,10:29,u0441,유야,원룸촌,오흡,학교,,2,Talk_2026.9.15 11:45-1.txt,10163,11:00 유야>오흡 카풀 톡방 >> 6명시 마감 🙋🏻‍♀️차번호 <VEHICLE> <URL>,human_review_required,2+ known places and route/mode marker
omit_0021,2024-06-10,월,15:27,u0441,오흡,학교,토시래,원룸촌,비벤,3,Talk_2026.9.15 11:45-1.txt,10233,3:50 오흡>비벤>토시래 톡방 >> 6명시 마감 🙋🏻‍♀️차번호 <VEHICLE> <URL>,human_review_required,2+ known places and route/mode marker
omit_0022,2024-06-11,화,08:49,u1146,그할마,원룸촌,느헴,학교,,2,Talk_2026.9.15 11:45-1.txt,10425,9:00 그할마—느헴 택시 <PHONE>,human_review_required,2+ known places and route/mode marker
omit_0023,2024-06-11,화,22:41,u0506,오흡,학교,그할마,원룸촌,,2,Talk_2026.9.15 11:45-1.txt,10619,11시 그레이스-오흡-그할마 카풀 <URL>,human_review_required,2+ known places and route/mode marker
omit_0024,2024-06-13,목,10:26,u0441,유야,원룸촌,오흡,학교,,2,Talk_2026.9.15 11:45-1.txt,11012,11:00 유야>오흡 톡방 >> 6명시 마감 🙋🏻‍♀️차번호 <VEHICLE> <URL>,human_review_required,2+ known places and route/mode marker
omit_0025,2024-06-14,금,11:53,u0441,유야,원룸촌,오흡,학교,,2,Talk_2026.9.15 11:45-1.txt,11365,12:30 유야>오흡 카풀 톡방 >> 6명시 마감 🙋🏻‍♀️차번호 <VEHICLE> <URL>,human_review_required,2+ known places and route/mode marker
omit_0026,2024-06-14,금,18:37,u1512,궁물촌,원룸촌,그할마,원룸촌,,2,Talk_2026.9.15 11:45-1.txt,11504,6시 50분 택시 매점-궁물촌-그할마 <PHONE>,human_review_required,2+ known places and route/mode marker
omit_0027,2024-06-16,일,18:13,u0441,오흡,학교,그할마,원룸촌,비벤,3,Talk_2026.9.15 11:45-1.txt,11763,6:40 오흡>비벤>그할마 톡방 >> 6명시 마감 🙋🏻‍♀️차번호 <VEHICLE> <URL>,human_review_required,2+ known places and route/mode marker
omit_0028,2024-06-17,월,10:35,u0441,유야,원룸촌,오흡,학교,,2,Talk_2026.9.15 11:45-1.txt,11915,11:00 유야>오흡 카풀 톡방 >> 6명시 마감 🙋🏻‍♀️차번호 <VEHICLE> <URL>,human_review_required,2+ known places and route/mode marker
omit_0029,2024-06-17,월,15:22,u0441,오흡,학교,토시래,원룸촌,비벤,3,Talk_2026.9.15 11:45-1.txt,11987,3:45 오흡>비벤>토시래 톡방 >> 6명시 마감 <URL>,human_review_required,2+ known places and route/mode marker
omit_0030,2024-06-18,화,09:06,u0441,유야,원룸촌,오흡,학교,,2,Talk_2026.9.15 11:45-1.txt,12150,9:30 유야>오흡 카풀 톡방 >> 6명시 마감 🙋🏻‍♀️차번호 <VEHICLE> <URL>,human_review_required,2+ known places and route/mode marker
omit_0031,2024-06-18,화,19:33,u0076,그할마,원룸촌,언어교육원,학교,,2,Talk_2026.9.15 11:45-1.txt,12276,여름 계절학기 택시같이 타실 분 2명 구합니다 월-금 12:45분 오후분반! 그할마>언어교육원앞 하차 <PHONE>,human_review_required,2+ known places and route/mode marker
omit_0032,2024-06-21,금,07:45,u1351,야멍,원룸촌,오석,학교,,2,Talk_2026.9.15 11:45-1.txt,12912,8:40 콘테>야멍>오석 <PHONE>/4,human_review_required,2+ known places and route/mode marker
omit_0033,2024-06-22,토,17:41,u0257,택정,학교,포항역,포항역,,2,Talk_2026.9.15 11:45-1.txt,13351,6/23(주일) 10:05 (10:40 기차) 🚖택정 ➡️ 포항역 택시 (2/4) 캐리어 하나 있습니다 <PHONE>,human_review_required,2+ known places and route/mode marker
omit_0034,2024-06-24,월,11:52,u0199,포항역,포항역,학교,학교,,2,Talk_2026.9.15 11:45-1.txt,13615,12:00 포항역>유아>학교 <PHONE>,human_review_required,2+ known places and route/mode marker
omit_0035,2024-06-28,금,10:27,u1944,유야,원룸촌,한동대,학교,,2,Talk_2026.9.15 11:45-1.txt,14281,10:35 유야 - 한동 (1/4) <PHONE> 택시,human_review_required,2+ known places and route/mode marker
omit_0036,2024-07-03,수,20:29,u0952,예성,원룸촌,언어교육원,학교,,2,Talk_2026.9.15 11:45-1.txt,14934,8:40 예성➡️언어교육원 카풀 <URL>,human_review_required,2+ known places and route/mode marker
omit_0037,2024-07-04,목,07:41,u0952,예성,원룸촌,언어교육원,학교,,2,Talk_2026.9.15 11:45-1.txt,14952,8:40 예성➡️언어교육원 카풀 <URL>,human_review_required,2+ known places and route/mode marker
omit_0038,2024-07-08,월,08:00,u0952,예성,원룸촌,언어교육원,학교,,2,Talk_2026.9.15 11:45-1.txt,15442,8:40 예성➡️언어교육원 카풀 <URL>,human_review_required,2+ known places and route/mode marker
omit_0039,2024-07-09,화,07:59,u0952,예성,원룸촌,언어교육원,학교,,2,Talk_2026.9.15 11:45-1.txt,15615,8:40 예성➡️언어교육원 카풀 <URL>,human_review_required,2+ known places and route/mode marker
omit_0040,2024-07-10,수,08:06,u0952,예성,원룸촌,언어교육원,학교,,2,Talk_2026.9.15 11:45-1.txt,15787,8:40 예성➡️언어교육원 카풀 <URL>,human_review_required,2+ known places and route/mode marker
omit_0041,2024-07-11,목,08:00,u0952,예성,원룸촌,언어교육원,학교,,2,Talk_2026.9.15 11:45-1.txt,15926,8:40 예성➡️언어교육원 카풀 <URL>,human_review_required,2+ known places and route/mode marker
omit_0042,2024-07-12,금,10:28,u1561,학교,학교,양덕,원룸촌,,2,Talk_2026.9.15 11:45-1.txt,16156,다음주 금요일 7/19(금) 19:30 카풀 학교(양덕)—> 대구 신세계백화점 앞 8000 <PHONE>,human_review_required,2+ known places and route/mode marker
omit_0043,2024-07-15,월,14:04,u0413,한동대,학교,포항역,포항역,,2,Talk_2026.9.15 11:45-1.txt,16557,오늘 (15일) 한동 > 포항역 17시 30분 (18:00 기차) <URL>,human_review_required,2+ known places and route/mode marker
omit_0044,2024-07-16,화,13:17,u0413,포항역,포항역,한동대,학교,,2,Talk_2026.9.15 11:45-1.txt,16686,내일 (17일 수요일) 포항역 > 한동 15시 35분 (15:28 도착KTX) <URL>,human_review_required,2+ known places and route/mode marker
omit_0045,2024-07-16,화,21:49,u1794,오흡,학교,유야,원룸촌,그할마,3,Talk_2026.9.15 11:45-1.txt,16737,22:30 오흡-그할마-유야-세차장 (중간하차가능) 카카오톡 오픈채팅을 시작해 보세요. 링크를 선택하면 카카오톡이 실행됩니다. 🚗 / ➡ 집 <URL>,human_review_required,2+ known places and route/mode marker
omit_0046,2024-07-17,수,09:37,u1561,학교,학교,양덕,원룸촌,,2,Talk_2026.9.15 11:45-1.txt,16787,7/19(금) 19:30 카풀 학교(양덕)—> 대구 신세계백화점 앞 8000 <PHONE>,human_review_required,2+ known places and route/mode marker
omit_0047,2024-07-17,수,10:38,u0413,포항역,포항역,한동대,학교,,2,Talk_2026.9.15 11:45-1.txt,16797,내일 (17일 수요일) 포항역 > 한동 15시 35분 (15:28 도착KTX) <URL>,human_review_required,2+ known places and route/mode marker
omit_0048,2024-07-18,목,20:56,u1561,학교,학교,양덕,원룸촌,,2,Talk_2026.9.15 11:45-1.txt,16972,내일 (7/19 금) 19:30 카풀 학교(양덕)—> 대구 신세계백화점 앞 8000 <PHONE>,human_review_required,2+ known places and route/mode marker
omit_0049,2024-08-02,금,08:12,u2094,유야,원룸촌,오흡,학교,,2,Talk_2026.9.15 11:45-1.txt,18243,08:30유야 - 매점 - 오흡 (정원 5명) 9196 카풀 <URL>,human_review_required,2+ known places and route/mode marker
omit_0050,2024-08-30,금,10:13,u0952,예성,원룸촌,오흡,학교,,2,Talk_2026.9.15 11:45-1.txt,22389,11:00 예성➡️오흡 카풀 <URL>,human_review_required,2+ known places and route/mode marker
omit_0051,2024-09-01,일,10:31,u1854,유야,원룸촌,오흡,학교,,2,Talk_2026.9.15 11:45-1.txt,22886,11:00 유야>채플>오흡 카카오톡 오픈채팅을 시작해 보세요. 링크를 선택하면 카카오톡이 실행됩니다. 카풀방 <URL>,human_review_required,2+ known places and route/mode marker
omit_0052,2024-09-02,월,10:35,u0952,예성,원룸촌,오흡,학교,,2,Talk_2026.9.15 11:45-1.txt,23263,11:00 예성➡️오흡 카풀 <URL>,human_review_required,2+ known places and route/mode marker
omit_0053,2024-09-03,화,12:08,u0952,예성,원룸촌,언어교육원,학교,,2,Talk_2026.9.15 11:45-1.txt,23702,12:35 예성➡️언어교육원 카풀 <URL>,human_review_required,2+ known places and route/mode marker
omit_0054,2024-09-04,수,21:08,u0110,한동대,학교,포항역,포항역,,2,Talk_2026.9.15 11:45-1.txt,24245,내일 19:00 한동>포항역 <PHONE>,human_review_required,2+ known places and route/mode marker
omit_0055,2024-09-05,목,10:18,u0952,예성,원룸촌,오흡,학교,,2,Talk_2026.9.15 11:45-1.txt,24442,11:00 예성➡️오흡 카풀 <URL>,human_review_required,2+ known places and route/mode marker
omit_0056,2024-09-05,목,11:54,u0125,오흡,학교,그할마,원룸촌,비벤;궁물촌,4,Talk_2026.9.15 11:45-1.txt,24520,13:00 오흡>비벤>궁물촌>그할마>장량복지센터 카풀방 <URL>,human_review_required,2+ known places and route/mode marker
omit_0057,2024-09-06,금,11:59,u0952,예성,원룸촌,언어교육원,학교,,2,Talk_2026.9.15 11:45-1.txt,25124,12:35 예성➡️언어교육원 카풀 <URL>,human_review_required,2+ known places and route/mode marker
omit_0058,2024-09-06,금,14:16,u0125,오흡,학교,그할마,원룸촌,비벤;궁물촌,4,Talk_2026.9.15 11:45-1.txt,25176,14:30 오흡>비벤>궁물촌>그할마>장량복지센터 카풀방 <URL>,human_review_required,2+ known places and route/mode marker
omit_0059,2024-09-06,금,19:00,u0125,오흡,학교,그할마,원룸촌,비벤;궁물촌,4,Talk_2026.9.15 11:45-1.txt,25292,19:15 오흡>비벤>궁물촌>그할마>장량복지센터 카풀방 <URL>,human_review_required,2+ known places and route/mode marker
omit_0060,2024-09-09,월,00:29,u0722,느헴,학교,궁물촌,원룸촌,,2,Talk_2026.9.15 11:45-1.txt,25751,9.9 12:40 택시 느헤미야 > 궁물촌 2/4 <PHONE>,human_review_required,2+ known places and route/mode marker
omit_0061,2024-09-09,월,10:27,u0952,예성,원룸촌,오흡,학교,,2,Talk_2026.9.15 11:45-1.txt,25929,11:00 예성➡️오흡 카풀 <URL>,human_review_required,2+ known places and route/mode marker
omit_0062,2024-09-09,월,16:53,u0125,오흡,학교,그할마,원룸촌,비벤;궁물촌,4,Talk_2026.9.15 11:45-1.txt,26042,5:30 오흡>비벤>궁물촌>그할마>장량복지센터 3명만 카풀할께요! 카풀방 <URL>,human_review_required,2+ known places and route/mode marker
omit_0063,2024-09-10,화,12:03,u0952,예성,원룸촌,언어교육원,학교,,2,Talk_2026.9.15 11:45-1.txt,26422,12:35 예성➡️언어교육원 카풀 <URL>,human_review_required,2+ known places and route/mode marker
omit_0064,2024-09-10,화,21:49,u0125,오흡,학교,그할마,원룸촌,비벤;궁물촌,4,Talk_2026.9.15 11:45-1.txt,26653,22:00 오흡>비벤>궁물촌>그할마>장량복지센터 카풀방 <URL>,human_review_required,2+ known places and route/mode marker
omit_0065,2024-09-11,수,16:42,u1914,토시래,원룸촌,맛깨비,원룸촌,,2,Talk_2026.9.15 11:45-1.txt,26966,17: 15 구 토시래 (맛깨비) > 채플 택시 <PHONE>,human_review_required,2+ known places and route/mode marker
omit_0066,2024-09-11,수,22:06,u0125,오흡,학교,그할마,원룸촌,비벤;궁물촌,4,Talk_2026.9.15 11:45-1.txt,27091,22:30 오흡>비벤>궁물촌>그할마>장량복지센터 카풀방 <URL>,human_review_required,2+ known places and route/mode marker
omit_0067,2024-09-12,목,10:22,u0952,예성,원룸촌,오흡,학교,,2,Talk_2026.9.15 11:45-1.txt,27371,11:00 예성➡️오흡 카풀 <URL>,human_review_required,2+ known places and route/mode marker
omit_0068,2024-09-12,목,16:18,u0125,오흡,학교,그할마,원룸촌,비벤;궁물촌,4,Talk_2026.9.15 11:45-1.txt,27678,17:20 오흡>비벤>궁물촌>그할마>장량복지센터 카풀방 <URL>,human_review_required,2+ known places and route/mode marker
omit_0069,2024-09-12,목,17:38,u0110,한동대,학교,포항터미널,터미널,,2,Talk_2026.9.15 11:45-1.txt,27798,내일(금) 오전 6:40 한동>포항터미널 <PHONE> (2/4),human_review_required,2+ known places and route/mode marker
omit_0070,2024-09-12,목,21:14,u0952,오흡,학교,예성,원룸촌,,2,Talk_2026.9.15 11:45-1.txt,27947,21:20 오흡➡️예성 (중간 하차 가능) 카풀 <URL>,human_review_required,2+ known places and route/mode marker
omit_0071,2024-09-13,금,17:11,u0125,오흡,학교,그할마,원룸촌,비벤;궁물촌,4,Talk_2026.9.15 11:45-1.txt,28685,17:20 오흡>비벤>궁물촌>그할마>장량복지센터 카풀방 <URL>,human_review_required,2+ known places and route/mode marker
omit_0072,2024-09-18,수,13:09,u0590,포항역,포항역,한동대,학교,,2,Talk_2026.9.15 11:45-1.txt,29617,9/18 수 포항역 > 한동 14:59 도착 기차 <PHONE>/4,human_review_required,2+ known places and route/mode marker
omit_0073,2024-09-19,목,21:12,u0125,오흡,학교,그할마,원룸촌,비벤;궁물촌,4,Talk_2026.9.15 11:45-2.txt,696,21:30 오흡>비벤>궁물촌>그할마>장량복지센터 카풀방 <URL>,human_review_required,2+ known places and route/mode marker
omit_0074,2024-09-20,금,20:32,u0125,오흡,학교,그할마,원룸촌,비벤;궁물촌,4,Talk_2026.9.15 11:45-2.txt,1202,20:45 오흡>비벤>궁물촌>그할마>장량복지센터 카풀방 <URL>,human_review_required,2+ known places and route/mode marker
omit_0075,2024-09-24,화,18:35,u0125,오흡,학교,그할마,원룸촌,비벤;궁물촌,4,Talk_2026.9.15 11:45-2.txt,2308,19:45 오흡>비벤>궁물촌>그할마>장량복지센터 카풀방 <URL>,human_review_required,2+ known places and route/mode marker
omit_0076,2024-09-25,수,14:56,u1854,그할마,원룸촌,오흡,학교,,2,Talk_2026.9.15 11:45-2.txt,2581,15:20 그할마>채플>오흡 카카오톡 오픈채팅을 시작해 보세요. 링크를 선택하면 카카오톡이 실행됩니다. 카풀방 <URL>,human_review_required,2+ known places and route/mode marker
omit_0077,2024-09-25,수,21:48,u0125,오흡,학교,그할마,원룸촌,비벤;궁물촌,4,Talk_2026.9.15 11:45-2.txt,2684,22:30 오흡>비벤>궁물촌>그할마>장량복지센터 카풀방 <URL>,human_review_required,2+ known places and route/mode marker
omit_0078,2024-09-27,금,01:37,u0125,오흡,학교,그할마,원룸촌,비벤;궁물촌,4,Talk_2026.9.15 11:45-2.txt,3179,1:45 오흡>비벤>궁물촌>그할마>장량복지센터 카풀방 <URL>,human_review_required,2+ known places and route/mode marker
omit_0079,2024-09-27,금,13:22,u1310,한동대,학교,포항역,포항역,,2,Talk_2026.9.15 11:45-2.txt,3368,금 15:00 (15:37 기차) 한동>포항역 <PHONE>,human_review_required,2+ known places and route/mode marker
omit_0080,2024-09-27,금,21:52,u0125,오흡,학교,그할마,원룸촌,비벤;궁물촌,4,Talk_2026.9.15 11:45-2.txt,3498,22:30 오흡>비벤>궁물촌>그할마>장량복지센터 카풀방 <URL>,human_review_required,2+ known places and route/mode marker
omit_0081,2024-09-28,토,17:30,u0125,오흡,학교,그할마,원룸촌,비벤;궁물촌,4,Talk_2026.9.15 11:45-2.txt,3642,17:45 오흡>비벤>궁물촌>그할마>장량복지센터 카풀방 <URL>,human_review_required,2+ known places and route/mode marker
omit_0082,2024-09-29,일,18:36,u0125,오흡,학교,그할마,원룸촌,비벤;궁물촌,4,Talk_2026.9.15 11:45-2.txt,3789,18:45 오흡>비벤>궁물촌>그할마>장량복지센터 카풀방 <URL>,human_review_required,2+ known places and route/mode marker
omit_0083,2024-09-30,월,17:04,u0125,오흡,학교,그할마,원룸촌,비벤;궁물촌,4,Talk_2026.9.15 11:45-2.txt,4194,17:20 오흡>비벤>궁물촌>그할마>장량복지센터 카풀방 <URL>,human_review_required,2+ known places and route/mode marker
omit_0084,2024-10-01,화,17:38,u0125,오흡,학교,그할마,원룸촌,비벤;궁물촌,4,Talk_2026.9.15 11:45-2.txt,4463,17:50 오흡>비벤>궁물촌>그할마>장량복지센터 카풀방 <URL>,human_review_required,2+ known places and route/mode marker
omit_0085,2024-10-02,수,13:33,u1854,그할마,원룸촌,오흡,학교,,2,Talk_2026.9.15 11:45-2.txt,4697,14:05 그할마>채플>오흡 카카오톡 오픈채팅을 시작해 보세요. 링크를 선택하면 카카오톡이 실행됩니다. 카풀방 <URL>,human_review_required,2+ known places and route/mode marker
omit_0086,2024-10-02,수,19:09,u0125,오흡,학교,그할마,원룸촌,비벤;궁물촌,4,Talk_2026.9.15 11:45-2.txt,4822,19:30 오흡>비벤>궁물촌>그할마>장량복지센터 카풀방 <URL>,human_review_required,2+ known places and route/mode marker
omit_0087,2024-10-03,목,21:48,u0125,오흡,학교,그할마,원룸촌,비벤;궁물촌,4,Talk_2026.9.15 11:45-2.txt,5055,22:20 오흡>비벤>궁물촌>그할마>장량복지센터 카풀방 <URL>,human_review_required,2+ known places and route/mode marker
omit_0088,2024-10-03,목,22:58,u0125,오흡,학교,그할마,원룸촌,비벤;궁물촌,4,Talk_2026.9.15 11:45-2.txt,5075,11:10 오흡>비벤>궁물촌>그할마>장량복지센터 카풀방 <URL>,human_review_required,2+ known places and route/mode marker
omit_0089,2024-10-04,금,22:53,u0125,오흡,학교,그할마,원룸촌,비벤;궁물촌,4,Talk_2026.9.15 11:45-2.txt,5528,23:40 오흡>비벤>궁물촌>그할마>장량복지센터 카풀방 <URL>,human_review_required,2+ known places and route/mode marker
omit_0090,2024-10-05,토,00:13,u2094,오흡,학교,유야,원룸촌,비벤,3,Talk_2026.9.15 11:45-2.txt,5573,00:30 오흡-비벤-그할나-유야 (정원 6명마감) 9196 카풀 <URL>,human_review_required,2+ known places and route/mode marker
omit_0091,2024-10-06,일,00:10,u0125,오흡,학교,그할마,원룸촌,비벤;궁물촌,4,Talk_2026.9.15 11:45-2.txt,5781,00:20 오흡>비벤>궁물촌>그할마>장량복지센터 카풀방 <URL>,human_review_required,2+ known places and route/mode marker
omit_0092,2024-10-06,일,22:25,u0125,오흡,학교,그할마,원룸촌,비벤;궁물촌,4,Talk_2026.9.15 11:45-2.txt,6002,23:00 오흡>비벤>궁물촌>그할마>장량복지센터 카풀방 <URL>,human_review_required,2+ known places and route/mode marker
omit_0093,2024-10-08,화,00:18,u0125,오흡,학교,그할마,원룸촌,비벤;궁물촌,4,Talk_2026.9.15 11:45-2.txt,6378,00:25 오흡>비벤>궁물촌>그할마>장량복지센터 카풀방 <URL>,human_review_required,2+ known places and route/mode marker
omit_0094,2024-10-08,화,22:41,u0125,오흡,학교,그할마,원룸촌,비벤;궁물촌,4,Talk_2026.9.15 11:45-2.txt,6740,22:00 오흡>비벤>궁물촌>그할마>장량복지센터 카풀방 <URL>,human_review_required,2+ known places and route/mode marker
omit_0095,2024-10-11,금,00:18,u0125,오흡,학교,그할마,원룸촌,비벤;궁물촌,4,Talk_2026.9.15 11:45-2.txt,7381,00:30 오흡>비벤>궁물촌>그할마>장량복지센터 카풀방 <URL>,human_review_required,2+ known places and route/mode marker
omit_0096,2024-10-11,금,23:33,u0125,오흡,학교,그할마,원룸촌,비벤;궁물촌,4,Talk_2026.9.15 11:45-2.txt,7791,23:50 오흡>비벤>궁물촌>그할마>장량복지센터 카풀방 <URL>,human_review_required,2+ known places and route/mode marker
omit_0097,2024-10-14,월,21:55,u1612,느헴,학교,그할마,원룸촌,오흡;비벤,4,Talk_2026.9.15 11:45-2.txt,8583,모이는대로 느헴-오흡-비벤-토시랙-그할마 카풀 톡방인원 6명 마감 2명이상 출발 jUBER🚗 <URL>,human_review_required,2+ known places and route/mode marker
omit_0098,2024-10-14,월,22:24,u0125,오흡,학교,그할마,원룸촌,비벤;궁물촌,4,Talk_2026.9.15 11:45-2.txt,8597,22:40 오흡>비벤>궁물촌>그할마>장량복지센터 카풀방 <URL>,human_review_required,2+ known places and route/mode marker
omit_0099,2024-10-15,화,21:46,u0125,오흡,학교,그할마,원룸촌,비벤;궁물촌,4,Talk_2026.9.15 11:45-2.txt,8919,22:00 오흡>비벤>궁물촌>그할마>장량복지센터 카풀방 <URL>,human_review_required,2+ known places and route/mode marker
omit_0100,2024-10-17,목,01:40,u0125,오흡,학교,그할마,원룸촌,비벤;궁물촌,4,Talk_2026.9.15 11:45-2.txt,9343,2:00 오흡>비벤>궁물촌>그할마>장량복지센터 카풀방 <URL>,human_review_required,2+ known places and route/mode marker
omit_0101,2024-10-18,금,02:59,u0125,오흡,학교,그할마,원룸촌,비벤;궁물촌,4,Talk_2026.9.15 11:45-2.txt,9787,3:10 오흡>비벤>궁물촌>그할마>장량복지센터 카풀방 <URL>,human_review_required,2+ known places and route/mode marker
omit_0102,2024-10-18,금,20:48,u0125,오흡,학교,그할마,원룸촌,비벤;궁물촌,4,Talk_2026.9.15 11:45-2.txt,10196,21:05 오흡>비벤>궁물촌>그할마>장량복지센터 카풀방 <URL>,human_review_required,2+ known places and route/mode marker
omit_0103,2024-10-20,일,22:05,u0125,오흡,학교,그할마,원룸촌,비벤;궁물촌,4,Talk_2026.9.15 11:45-2.txt,10557,22:15 오흡>비벤>궁물촌>그할마>장량복지센터 카풀방 <URL>,human_review_required,2+ known places and route/mode marker
omit_0104,2024-10-22,화,00:04,u0125,오흡,학교,그할마,원룸촌,비벤;궁물촌,4,Talk_2026.9.15 11:45-2.txt,10987,00:15 오흡>비벤>궁물촌>그할마>장량복지센터 카풀방 <URL>,human_review_required,2+ known places and route/mode marker
omit_0105,2024-10-22,화,18:39,u0125,오흡,학교,그할마,원룸촌,비벤;궁물촌,4,Talk_2026.9.15 11:45-2.txt,11258,18:50 오흡>비벤>궁물촌>그할마>장량복지센터 카풀방 <URL>,human_review_required,2+ known places and route/mode marker
omit_0106,2024-10-23,수,09:11,u1914,토시래,원룸촌,맛깨비,원룸촌,,2,Talk_2026.9.15 11:45-2.txt,11396,9:42 구 토시래(맛깨비) > 느혬 택시 중간 승차 가능 <PHONE>,human_review_required,2+ known places and route/mode marker
